true_class,pred_class,count,true_letter,pred_letter,true_vowel,pred_vowel,same_letter,same_vowel
73,70,5,24,23,Kasra,Kasra,False,True
48,42,4,16,14,Fatha,Fatha,False,True
69,72,4,23,24,Fatha,Fatha,False,True
9,57,4,3,19,Fatha,Fatha,False,True
30,24,3,10,8,Fatha,Fatha,False,True
64,7,3,21,2,Kasra,Kasra,False,True
21,30,3,7,10,Fatha,Fatha,False,True
60,45,3,20,15,Fatha,Fatha,False,True
49,43,3,16,14,Kasra,Kasra,False,True
34,7,3,11,2,Kasra,Kasra,False,True
39,45,3,13,15,Fatha,Fatha,False,True
50,5,3,16,1,Damma,Damma,False,True
53,29,3,17,9,Damma,Damma,False,True
70,73,3,23,24,Kasra,Kasra,False,True
10,58,3,3,19,Kasra,Kasra,False,True
61,58,2,20,19,Kasra,Kasra,False,True
35,8,2,11,2,Damma,Damma,False,True
59,77,2,19,25,Damma,Damma,False,True
60,51,2,20,17,Fatha,Fatha,False,True
32,26,2,10,8,Damma,Damma,False,True
61,46,2,20,15,Kasra,Kasra,False,True
33,9,2,11,3,Fatha,Fatha,False,True
24,21,2,8,7,Fatha,Fatha,False,True
67,70,2,22,23,Kasra,Kasra,False,True
14,26,2,4,8,Damma,Damma,False,True
40,34,2,13,11,Kasra,Kasra,False,True
1,4,2,0,1,Kasra,Kasra,False,True
42,48,2,14,16,Fatha,Fatha,False,True
43,49,2,14,16,Kasra,Kasra,False,True
44,50,2,14,16,Damma,Damma,False,True
