true_class,pred_class,count,true_letter,pred_letter,true_vowel,pred_vowel,same_letter,same_vowel
70,73,5,23,24,Kasra,Kasra,False,True
33,9,4,11,3,Fatha,Fatha,False,True
34,7,4,11,2,Kasra,Kasra,False,True
60,45,4,20,15,Fatha,Fatha,False,True
69,72,4,23,24,Fatha,Fatha,False,True
21,30,3,7,10,Fatha,Fatha,False,True
32,26,3,10,8,Damma,Damma,False,True
64,7,3,21,2,Kasra,Kasra,False,True
48,42,3,16,14,Fatha,Fatha,False,True
42,48,3,14,16,Fatha,Fatha,False,True
49,43,3,16,14,Kasra,Kasra,False,True
1,82,3,0,27,Kasra,Kasra,False,True
73,70,3,24,23,Kasra,Kasra,False,True
9,57,3,3,19,Fatha,Fatha,False,True
10,58,3,3,19,Kasra,Kasra,False,True
61,46,2,20,15,Kasra,Kasra,False,True
23,26,2,7,8,Damma,Damma,False,True
82,76,2,27,25,Kasra,Kasra,False,True
24,21,2,8,7,Fatha,Fatha,False,True
60,51,2,20,17,Fatha,Fatha,False,True
30,21,2,10,7,Fatha,Fatha,False,True
35,8,2,11,2,Damma,Damma,False,True
31,34,2,10,11,Kasra,Kasra,False,True
61,58,2,20,19,Kasra,Kasra,False,True
25,31,2,8,10,Kasra,Kasra,False,True
40,34,2,13,11,Kasra,Kasra,False,True
41,35,2,13,11,Damma,Damma,False,True
27,42,2,9,14,Fatha,Fatha,False,True
22,82,2,7,27,Kasra,Kasra,False,True
50,5,2,16,1,Damma,Damma,False,True
